Latitude,Longitude,UTC,Parameter,Unit,AQI,Category,SiteName,AgencyName,FullAQSCode,IntlAQSCode,region,source,data_type,city
43.0994,-75.225,2025-05-23T00:00,PM2.5,UG/M3,0,1,Utica,New York Dept. of Environmental Conservation,360652001,840360652001,Canada,AirNow,historical,Unknown
45.017976,-74.735339,2025-05-23T00:00,OZONE,PPB,28,1,Cornwall,Ontario Ministry of the Environment,000061201,124000061201,Canada,AirNow,historical,Unknown
45.017976,-74.735339,2025-05-23T00:00,PM2.5,UG/M3,9,1,Cornwall,Ontario Ministry of the Environment,000061201,124000061201,Canada,AirNow,historical,Unknown
45.017976,-74.735339,2025-05-23T00:00,NO2,PPB,1,1,Cornwall,Ontario Ministry of the Environment,000061201,124000061201,Canada,AirNow,historical,Unknown
43.4556,-74.515,2025-05-23T00:00,OZONE,PPB,25,1,Piseco Lake,New York Dept. of Environmental Conservation,360410005,840360410005,Canada,AirNow,historical,Unknown
45.1167,-74.2833,2025-05-23T00:00,OZONE,PPB,27,1,Saint-Anicet,Canada-Quebec1,000054401,124000054401,Canada,AirNow,historical,Unknown
45.1167,-74.2833,2025-05-23T00:00,PM2.5,UG/M3,11,1,Saint-Anicet,Canada-Quebec1,000054401,124000054401,Canada,AirNow,historical,Unknown
45.426509,-73.928944,2025-05-23T00:00,OZONE,PPB,22,1,Sainte-Anne-de-Bellevue,Canada-Quebec2,CC0050126,124CC0050126,Canada,AirNow,historical,Montreal
45.426509,-73.928944,2025-05-23T00:00,PM2.5,UG/M3,16,1,Sainte-Anne-de-Bellevue,Canada-Quebec2,CC0050126,124CC0050126,Canada,AirNow,historical,Montreal
45.426509,-73.928944,2025-05-23T00:00,NO2,PPB,8,1,Sainte-Anne-de-Bellevue,Canada-Quebec2,CC0050126,124CC0050126,Canada,AirNow,historical,Montreal
44.39308,-73.8589,2025-05-23T00:00,OZONE,PPB,28,1,Whiteface Mtn,New York Dept. of Environmental Conservation,360310003,840360310003,Canada,AirNow,historical,Unknown
44.39308,-73.8589,2025-05-23T00:00,PM2.5,UG/M3,5,1,Whiteface Mtn,New York Dept. of Environmental Conservation,360310003,840360310003,Canada,AirNow,historical,Unknown
45.5472,-73.7472,2025-05-23T00:00,OZONE,PPB,23,1,Laval - Chomedey,Canada-Quebec1,000050113,124000050113,Canada,AirNow,historical,Montreal
45.5472,-73.7472,2025-05-23T00:00,PM2.5,UG/M3,16,1,Laval - Chomedey,Canada-Quebec1,000050113,124000050113,Canada,AirNow,historical,Montreal
45.468297,-73.741185,2025-05-23T00:00,PM2.5,UG/M3,17,1,Aéroport de Montréal 1,Canada-Quebec2,CC0050128,124CC0050128,Canada,AirNow,historical,Montreal
45.468297,-73.741185,2025-05-23T00:00,NO2,PPB,8,1,Aéroport de Montréal 1,Canada-Quebec2,CC0050128,124CC0050128,Canada,AirNow,historical,Montreal
45.502648,-73.663913,2025-05-23T00:00,OZONE,PPB,24,1,Duncan,Canada-Quebec2,CC0050109,124CC0050109,Canada,AirNow,historical,Montreal
45.502648,-73.663913,2025-05-23T00:00,PM2.5,UG/M3,17,1,Duncan,Canada-Quebec2,CC0050109,124CC0050109,Canada,AirNow,historical,Montreal
45.502648,-73.663913,2025-05-23T00:00,NO2,PPB,2,1,Duncan,Canada-Quebec2,CC0050109,124CC0050109,Canada,AirNow,historical,Montreal
45.70476,-73.65776,2025-05-23T00:00,OZONE,PPB,24,1,Terrebonne - Parc Vaillant,Canada-Quebec1,000050137,124000050137,Canada,AirNow,historical,Montreal
45.70476,-73.65776,2025-05-23T00:00,PM2.5,UG/M3,16,1,Terrebonne - Parc Vaillant,Canada-Quebec1,000050137,124000050137,Canada,AirNow,historical,Montreal
45.593325,-73.637328,2025-05-23T00:00,OZONE,PPB,25,1,Caserne 17,Canada-Quebec2,CC0050135,124CC0050135,Canada,AirNow,historical,Montreal
45.593325,-73.637328,2025-05-23T00:00,PM2.5,UG/M3,14,1,Caserne 17,Canada-Quebec2,CC0050135,124CC0050135,Canada,AirNow,historical,Montreal
45.464611,-73.582583,2025-05-23T00:00,PM2.5,UG/M3,18,1,York-Roberval,Canada-Quebec2,CC0050138,124CC0050138,Canada,AirNow,historical,Montreal
